Text,Difficulty
"Contre le mur, il y a une grande affiche",A1
"Il porte un T-shirt blanc, un pantalon bleu et de jolies chaussures blanches",A1
Mes parents habitent dans un immeuble près de chez moi,A1
Je travaille comme serveur dans un petit restaurant,A1
"Cette année, dans sa chambre, il y a une terrasse en face de la mer, une grande salle de bains, la télévision et l’air conditionné",A2
Le premier part à sept heures vingt cinq et le deuxième part à neuf heures et demie,A1
"Le jeudi et le vendredi, je reste chez moi et je travaille à la maison",A1
Je dors environ six heures par nuit,A1
Nous buvons seulement de l’eau,A1
"Le soir, elle a dîné dans un restaurant avec son frère",A1
Ils ont passé une très bonne soirée,A1
Elle veut travailler avec des étrangers et elle peut parfois travailler le week-end,A1
Ils lui proposent d’acheter des fleurs,A1
"Il y a aussi des inconvénients : il y a trop de voitures et de pollution, il n’y a pas assez d’espaces verts et c’est très bruyant",A2
"Elle s’est baignée, elle s’est reposée, elle s’est amusée",A1
j’écrivais des histoires et je les lisais le soir quand mes parents dormaient,A2
Il n’a pas de veste,A1
"Leur appartement est récent, les pièces sont claires et leurs voisins sont très sympathiques",A1
Le restaurant n’est pas loin du musée du Louvre,A1
"L’hôtel a une piscine, plusieurs bars et restaurants",A1
Étienne choisit le le train de sept heures vingt cinq parce qu’il préfère arriver assez tôt,A1
Je suis photographe,A1
Ils ont pris une pizza,A1
Ils sont rentrés dimanche matin en avion,A1
Elle cherche un travail de réceptionniste dans un hôtel,A1
"Son mari, lui, n’aime pas beaucoup la mer",A1
Son frère est à côté,A1
"Pour y aller, descendez à la station musée du Louvre, prenez à droite et continuez tout droit",A1
Jean va tous les jours à la plage,A1
Je travaille pour un magazine de mode américain,A1
"Clara a bu de l’eau, son frère a bu un verre de vin",A1
"Il ne n’est pas baigné, il ne s’est pas reposé",A1
"Il trouve qu’il fait trop chaud, alors il s’est ennuyé",A1
Il porte aussi des lunettes rouges,A1
Il a un pantalon vert et une chemise blanche,A1
Le restaurant est sur votre gauche,A1
"Tous les lundis, c'est la même chose",A1
"Mon réveil sonne à six heures et demie, je me rendors pendant un quart d'heure, et je me lève vers sept heures moins le quart",A1
"Ensuite, je prends ma douche pour finir de me réveiller",A1
"Après, je vais dans la cuisine et je bois mon café",A1
"Parfois, comme ce matin, il me reste des croissants du weekend, sinon je mange des biscottes beurrées",A1
"Je n'ai pas vraiment d'appétit le matin, même si je sais que c'est le repas le plus important de la journée",A2
Je profite aussi du petit-déjeuner pour lire les infos en ligne,A1
"En général, c'est à ce moment-là que je me rends compte que je suis en retard",A2
"Je cours dans ma chambre, et je me dépêche de m'habiller et de me maquiller, puis je vais prendre le métro",A2
Peut-être que je devrais avancer un peu mon réveil pour éviter ça,A1
"Oui, cher Journal, c'est décidé, lundi prochain, je mettrai mon réveil plus tôt",A1
Bruno met son chapeau rigolo,A1
Élise boutonne sa chemise grise,A1
Clément enfile ses gants blancs,A1
Violette porte ses lunettes très chouettes,A1
Geoffrey adore son béret bleu foncé,A1
Arthur lace ses chaussures à rayures,A1
Manon admire son pantalon marron,A1
Édouard aime beaucoup son foulard noir,A1
C'est tellement amusant de réciter la comptine des vêtements,A1
Marie en France Marie aime aller en vacances en France,A1
"En général, elle loue une maison à la campagne",A1
"Le matin, elle va au marché du village pour acheter des fruits et des légumes, et pour discuter avec ses voisins",A1
Elle passe aussi à la boulangerie et elle achète une baguette toute chaude et des croissants pour le petit-déjeuner,A1
"L'après-midi, elle se promène dans la campagne, ou elle explore la région",A1
"Parfois, elle fait une bonne tarte aux fruits et elle invite des amis pour le goûter",A1
L'automne est ma saison préférée et voici mes raisons,A1
"D'abord, je préfère quand il ne fait pas trop chaud, et j'adore la lumière dorée des belles journées d'automne",A2
"On peut encore se promener dans les bois, et admirer toutes les couleurs chaleureuses comme le rouge, l'orange et le jaune",A1
C'est un spectacle magique,A1
Ma boisson préférée est un chocolat chaud avec une pincée de cannelle,A1
"Ce n'est pas étonnant, car c'est une saison mystérieuse",A1
"Je m'appelle Angélica Summer, j'ai 12 ans et je suis canadienne",A1
"Il y a 5 ans, ma famille et moi avons déménagé dans le sud de la France",A1
"Mon père, Frank Summer, est mécanicien",A1
Ma mère s'appelle Emilie Summer,A1
"Nous avons déménagé en France, parce qu'elle a toujours aimé la culture de ce pays",A1
La vie en France est très différente de celle au Canada,A1
Il fait toujours chaud,A1
"Chaque dimanche, nous allons à la magnifique plage de Biarritz et nous achetons des glaces après avoir nagé dans la mer",A1
Les Français sont très sympathiques et accueillants,A1
"Nous parlons français lorsque nous sommes dehors, à l'école ou au marché",A1
"Nous continuons de parler anglais à la maison, car mes parents ne veulent pas que je perde ma langue natale",A2
J'habite une belle ville dans le nord de la France,A1
Il y a un quartier très agréable pour aller se balader,A1
Il est possible de faire du vélo dans un parc autour d'une citadelle fortifiée,A2
"Dans le centre de la ville, il y a un très joli quartier, plein de magasins chics et de bons restaurants",A1
"Pour se déplacer, il y a des bus, des vélos et un métro",A1
"C'est pratique pour aller d'un centre commercial à un autre, pour aller à l'école, à la piscine, au stade ou encore au théâtre",A2
Il est agréable de marcher dans les petites rues pour admirer l'architecture des maisons anciennes,A1
Je m'appelle Jessica,A1
"Je suis une fille, je suis française et j'ai treize ans",A1
"Je vais à l'école à Nice, mais j'habite à Cagnes-Sur-Mer",A1
J'ai deux frères,A1
"Le premier s'appelle Thomas, il a quatorze ans",A1
Le second s'appelle Yann et il a neuf ans,A1
Mon papa est italien et il est fleuriste,A1
Ma mère est allemande et est avocate,A1
"Mes frères et moi parlons français, italien et allemand à la maison",A1
"Nous avons une grande maison avec un chien, un poisson et deux chats",A1
"Aujourd'hui, on est samedi, nous rendons visite à notre grand-mère",A1
Elle a 84 ans et elle habite à Antibes,A1
"J'adore ma grand-mère, elle est très gentille",A1
Elle fait des bons gâteaux,A1
"Lundi, je retourne à l'école",A1
"Je suis contente, je vais voir Amélie",A1
C'est ma meilleure amie,A1
J'aime beaucoup l'école,A1
Mes matières préférées sont le français et le sport,A1
J'aime beaucoup lire et je nage très bien,A1
Je suis bien arrivée à Londres pour ma dernière année d'études de marketing à l'université,A1
Là-bas tout le monde parle anglais,A1
"Par exemple, les bus sont rouges et certaines stations de métro semblent très anciennes",A1
Je partage un appartement avec deux autres étudiantes,A1
L'une s'appelle Jennifer et elle a 21 ans et l'autre s'appelle Ashley et elle a 22 ans,A1
Elles sont sympathiques,A1
"Elles m'ont promis de me faire découvrir tout Londres : nous visiterons les musées, les monuments et les parcs",A1
Nous irons aussi nous amuser à Camden Town et voir des concerts,A1
Nous irons faire du shopping à Oxford Street et dans le quartier de Covent Garden,A1
"J'ai hâte que tu viennes me rendre visite le mois prochain, pour te montrer mes endroits préférés",A1
Londres est différent de Paris,A2
"Chaque jour, Alice se lève vers six heures et prend un petit-déjeuner composé de pain, de fromage et d’œufs",A2
David reste toute la journée à l'école.,A2
"Le soir, il pratique une activité musicale.",A2
"Le mardi ressemble au lundi sauf qu'il n'y a pas d'activité après l'école, David rentre chez lui pour faire ses devoirs et se reposer",A2
Il y a des régions où les enfants ne vont pas à l'école le mercredi,A2
David va à l'école le mercredi matin,A2
"Le mercredi après-midi, il se détend et va jouer au football dans son club",A2
"Le jeudi est comme le mardi, on ne fait qu'aller à l'école",A2
La classe dure toute la journée mais elle est souvent plus courte pour laisser les élèves en week-end plus tôt,A2
La journée est longue pour David qui attend le samedi toute la semaine,A2
"Le samedi, il dispute des matchs de football avec son club dans le cadre de compétitions régionales",A2
"Le dimanche, il se repose et en profite pour faire ses devoirs pour la semaine",A2
"C'est déjà le lundi, et toute la semaine recommence",A2
"Cher Lucas, Je t'écris de chez mes grands-parents à l'Aigle en Normandie où je passe de super vacances depuis maintenant une semaine.",A2
"Ici, il fait beau et chaud.",A2
On a de la chance !,A2
J'en profite pour me baigner à la rivière avec mes cousins presque tous les jours !,A2
"Au programme des activités, on a : randonnées, baignade à la rivière, pique-nique en famille, équitation et travail à la ferme.",A2
"Mes grands-parents possèdent 11 poules, 1 coq, 2 cochons, 5 canards, 2 chiens, 3 chats et 1 poney.",A2
Il faut du temps et du courage pour soigner toute cette ménagerie !,B1
"En plus des animaux, il faut aussi s'occuper du potager de mon papy.",A2
"Nous avons beaucoup de chance de pouvoir manger des légumes frais du jardin tous les jours : salade, tomates, carottes, chou, radis, pommes de terre,...",A2
"Il y a aussi quelques arbres fruitiers comme un cerisier, un pommier, un abricotier,... mais aussi des fraisiers : je me régale et je fais le plein de vitamines !",B1
J'espère que tu passes de bonnes vacances à Limoges.,A2
Je te dis à très bientôt pour une rentrée des classes en pleine forme !,A2
"Le matin, Théo se lève à six heures.",A2
"Il reste au lit un quart d'heure dans le noir avant de se lever, pour faire durer la nuit.",A2
"Tous les matins, il suit la même routine : il commence par se laver le visage avant de prendre une douche.",A2
"Ensuite, il se sèche très vite les cheveux pour aller manger son petit déjeuner.",A2
Il doit se dépêcher pour ne pas être en retard à l'école.,A2
"Après son repas, il retourne à la salle de bain pour se brosser les dents et pour aller aux toilettes",A2
Théo vérifie qu'il a bien fait son lit avant de s'habiller et de partir à l'école,A2
La journée est longue pour lui,A2
"Il doit étudier et écrire pendant quatre heures le matin et il ne peut se reposer que vingt minutes au moment de la récréation, à dix heures du matin",A2
"À midi, c'est l'heure de déjeuner",A2
"Pendant une heure et demie, Théo peut penser à autre chose qu'à l'école et s'amuser avec ses amis",A2
La cloche de l'école sonne à quatorze heures pour que tout le monde retourne en classe jusqu'à dix-sept heures,A2
La journée n'est pas finie pour Théo qui doit rentrer à la maison pour faire ses devoirs.,A2
"Une fois qu'il a tout fini, Théo peut enfin aller jouer et s'amuser avant de dîner avec ses parents.",A2
Tout le monde aime les centres commerciaux,A2
"En été comme en hiver, les gens se bousculent dans ces endroits fantastiques remplis de boutiques variées et d'animations diverses",B1
"En effet, même si vous ne souhaitez pas acheter quelque chose, il est toujours intéressant de passer du temps dans les centres commerciaux",B1
"Le centre commercial est l'endroit idéal pour passer un bon moment avec sa famille, ses amis ou ses collègues de travail",A2
Les gens y vont notamment pour déguster un bon hamburger assis près de la fontaine ou tout en regardant un spectacle de danse,A2
"Côté magasins, on peut trouver de tout dans un centre commercial : hypermarchés pour faire ses courses, boutiques de vêtements et de sport, librairies, etc",A2
Vous ne risquerez pas de vous ennuyer dans un lieu aussi animé,B1
Clément et Manon ont très faim et la pendule du salon sonne midi,A2
Ils décident d'aller au marché pour acheter les ingrédients qu'ils vont cuisiner,A2
"Ils ont besoin d'une salade verte, de 6 tomates, de 3 œufs, de crème fraiche et de jambon",A2
Ils vont cuisiner une quiche lorraine pour le repas,A2
C'est le plat préféré de Manon,A2
Mais le marché est loin de leur maison et ils ne peuvent pas y aller à pied,A2
Ils prennent donc leur voiture rouge et conduisent jusqu'à la place du village,A2
Manon et Clément sortent de leur voiture et achètent ce dont ils ont besoin pour cuisiner la quiche lorraine,A2
"Ils mettent tous leurs achats dans un grand sac puis, ils rentrent dans leur maison",A2
"Une heure plus tard, Clément et Manon dégustent leur déjeuner bien mérité !",A2
"En France, il y a au total 11 fêtes pendant l'année",A2
"Ce sont des jours fériés, c'est-à-dire des jours pendant lesquels on ne travaille pas",A2
Certaines fêtes sont civiles et d'autre sont d'origine religieuses,A2
Le jour de l'An correspond au 1 janvier,A2
"On le fête avec ses amis ou sa famille, et on souhaite « bonne année ! » à ses proches",A2
Le 14 juillet est la fête nationale française,A2
Elle célèbre la prise de la Bastille qui a eu lieu le 14 juillet 1789,A2
Des feux d'artifices et des défilés militaires sont organisés,A2
Le 8 mai est la fête de la Victoire,A2
"C'est la commémoration, c'est-à-dire la fête anniversaire, de la fin de la Seconde Guerre mondiale",B1
"Le 1er mai correspond à la fête du Travail, et rappelle la lutte des ouvriers pour réduire la journée de travail à huit heures",B1
"Ce jour-là, on offre traditionnellement du muguet, une petite fleur blanche, à ses proches",A2
Noël a lieu le 25 décembre,A2
C'est une fête chrétienne qui célèbre la naissance de Jésus,A2
"Les familles se réunissent et partagent un bon repas le soir du 24 décembre, et on s'offre des cadeaux",A2
"Enfin, Pâques n'a pas de date fixe, c'est un dimanche compris entre le 22 mars et le 25 avril",A2
"À cette occasion, les parents cachent des oeufs en chocolat dans la maison et le jardin, et les enfants s'amusent à les chercher",A2
"Je m'appelle Camille et quand j'étais enfant, j'avais des rêves plein la tête",A2
Je voulais être professeur et enseigner les mathématiques,A2
"Puis, je voulais devenir docteur pour soigner les malades",A2
"Pour moi, les médecins et les infirmières sont des héros sans costume",A2
Mon ami Thomas rêvait d'être cuisinier,A2
C'est parce qu'il n'aimait pas les plats de la cantine,A2
Il pensait qu'un chef pouvait manger des pizzas et des frites tous les jours,A2
"Puis, plus grand, je découvrais les métiers de policier et d'avocat dans un film",A2
Je me disais alors que je voulais aussi combattre pour la justice,A2
Je voulais poursuivre les criminels et défendre les gentils,A2
Mais le monde ne fonctionne pas toujours ainsi,A2
"Adolescent, je voulais devenir pompier",A2
Mes parents m'encourageaient à devenir sapeur-pompier volontaire pour voir si cette carrière était réellement pour moi,A2
J'étais donc lycéen et pompier à la fois,A2
J'étais fier !,A2
"Mon ami Thomas, lui, est dentiste",A2
"Pourtant, quand on était petits, il détestait aller chez le dentiste",A2
Il pleurait à chaque fois,A2
"Depuis un an, mon mari Cédric, nos trois enfants et moi allons au marché tous ensemble le dimanche matin",A2
C'est notre petite tradition à nous cinq,A2
"La semaine, je me lève à six heures du matin et mon mari à huit heures",A2
"Mais le weekend, nous nous levons tous les deux à neuf heures",A2
"Notre garçon de sept ans, et nos jumelles de quatre ans se lèvent quand ils veulent, mais pas plus tard que dix heures",A2
"Nous aimons prendre le petit-déjeuner en famille et vers onze heures, nous nous rendons au marché",A2
"Au moment de payer, notre petit garçon est toujours volontaire",A2
Il n'aime pas donner les billets de vingt ou de cinquante euros,A2
Il préfère quand les sommes ne sont pas arrondies,A2
"Si nous devons payer soixante-deux euros et quatre-vingt-cinq centimes chez le boucher par exemple, il est content",A2
"Aujourd'hui, je vais te présenter ma famille",A2
"Je m'appelle Laurent et j'habite à Paris avec mes parents, ma sœur ainée et mon frère",A2
Je vais à l'école pendant la journée,A2
Mon père s'appelle Alain,A2
Il travaille en ville,A2
Ma mère Gertrude tient une mercerie,A2
"Pendant les grandes vacances, nous allons à la campagne chez mes grands-parents",A2
Mon grand-père nous adore et nous offre de nombreux cadeaux,A2
Ma tante Marcelline habite près de chez eux,A2
"Parfois, ma grand-mère Marie l'invite à la maison pour le déjeuner",A2
Elle vient avec son mari et mes cousins Lionel et Marcel,A2
Nous passons de bons moments à jouer ensemble dans le jardin,A2
Ma sœur ainée a 14 ans,A2
Elle joue du violon comme un grand artiste,A2
Mon frère Patrice est plus jeune que moi,A2
Il va à l'école des petits,A2
Il sait écrire son nom,A2
"Chaque soir, j'accompagne ma mère en vélo pour faire une promenade dans le parc avec notre chien Snowy",A2
Mon deuxième oncle Louis dit qu'il a des neveux adorables,A2
Sa femme Maryse est institutrice,A2
Ils ont deux enfants : un fils qui s'appelle André et une fille qui est très gentille,A2
J'aime beaucoup toute ma famille,A2
Je viens d'emménager dans ma nouvelle maison,A2
Elle est plus jolie que celle que j'avais avant,A2
Ma nouvelle maison est blanche avec des volets bleus et des fleurs rouges,A2
J'ai un garage pour ma voiture et pour mon vélo,A2
"A l'intérieur de ma maison, il y a un grand salon avec une table et quatre chaises pour accueillir mes amis",A2
Mon chat adore se blottir sur le canapé devant la télévision,B1
La cuisine est la pièce préférée de ma maison,A2
C'est ici que je cuisine des gâteaux et des pâtisseries,A2
"Pour aller dans ma chambre, je dois monter un escalier",A2
"Elle se situe au bout du couloir, à droite",A2
J'ai décidé de peindre les murs en jaune et d'y installer mon piano,A2
"A gauche, c'est ma salle de bain, avec vue sur mon jardin",A2
Je me sens très bien dans ma nouvelle maison !,A2
"Chaque jour, Alice se lève vers six heures et prend un petit-déjeuner composé de pain, de fromage et d'œufs",A2
"Ensuite, elle prend sa douche et se prépare pour filer en dix minutes vers la gare",A2
"Le train qui l'emmène en ville est souvent bondé, les gens font grise mine durant le trajet de quinze minutes en consultant leurs smartphones, les écouteurs vissés aux oreilles alors que nous approchons de l'arrivée",B1
Il faut alors prendre le métro durant vingt minutes avant d'arriver devant l'école,A2
De longues heures s'enchaînent pendant lesquelles Alice et ses camarades apprennent de nouvelles choses,A2
"L'après-midi, Alice va nager à la piscine",A2
"Le soir venu, il faut rentrer en prenant le même chemin que le matin",A2
"Elle fais ses devoirs puis prépare le dîner et finalement, elle regarde un film avant d'aller se coucher",B1
"Après la défaite de Napoléon ler à Waterloo en 1815, la Belgique, séparée de la France, est alors rattachée à l'ancien royaume de Hollande par l'Angleterre, créant ainsi le Royaume-Uni des Pays-Bas",B1
"Ce rapprochement est alors mené sans tenir compte de l'avis de la population belge, dont la majorité catholique se sent plus d'affinités avec la France encore avec la maison de Habsbourg-Lorraine qu'avec les Hollandais calvinistes qu'ils jugent plutôt austères",B1
"La Révolution de Juillet 1830 en France, qui, en seulement trois jours, voit le renversement de Charles X et la mise en place d'une monarchie constitutionnelle avec à sa tête le roi-bourgeois Louis-Philippe, inspire une opposition déjà échauffée par les abus du régime autoritaire de Guillaume ler",B1
"Le soir du 25 août 1830, le théâtre de la Monnaie, à Bruxelles, donne une représentation de l'opéra La Muette de Portici, dont le sujet se trouve être un soulèvement des Napolitains contre leur oppresseur",B2
"Le public, enthousiaste, reprend le refrain : « Amour sacré de la patrie, rends-nous l'audace et la fierté », et continue de chanter une fois la représentation terminée",A2
"Une foule se forme à la sortie du théâtre et se lance dans une série de mises à sac de demeures appartenant à des représentants de l'autorité royale, avant d'être réprimée dans le sang par l'infanterie",A2
"C'est le début de troubles qui se poursuivent et s'étendent au reste du territoire tout au long du mois de septembre les fameuses ""Journées de septembre"" amplifiés le refus de Guillaume 1er de considérer les revendications des insurgés",B2
"Il refuse ainsi catégoriquement la possibilité d'une simple séparation administrative entre la Belgique et la ""Hollande"", et envoie ses troupes afin de tenter de réprimer l'insurrection",B1
"Dans cette atmosphère révolutionnaire sont créés deux des symboles nationaux de la Belgique : le drapeau aux couleurs brabançonnes (de la région de Bruxelles) - noir, jaune, rouge - et l'hymne national ""La Brabançonne"" qui remplace ""La Marseillaise"" comme chant des insurgés",B1
"Le temps que Guillaume 1er concède enfin une séparation administrative le 29 septembre, il est trop tard : les Belges considèrent qu'un roi qui a fait couler le sang de son peuple ne peut plus régner",A2
"Le Gouvernement Provisoire proclame l'indépendance de la Belgique le 4 octobre 1830, et annonce la rédaction d'un projet de constitution",B1
"Lors du Congrès organisé en novembre 1830, une très large majorité des cent quatre-vingt-huit membres se prononce pour l'établissement d'une monarchie constitutionnelle",A2
Après avoir sollicité le jeune fils du nouveau roi des Français Louis-Philippe ler - qui refuse par crainte de nouvelles tensions internationales - les Belges se rabattent sur le prince anglo-allemand Léopold de Saxe- Cobourg,B2
Il prête serment le 21 juillet 1831 et devient roi sous le nom de Léopold ler,A2
"Malgré la reconnaissance par les grandes puissances de ce nouvel état souverain, Guillaume ler n'accepte pas la situation",B2
Il faudra en effet attendre 1839 pour que les Pays-Bas reconnaissent officiellement l'indépendance belge en signant à Londres le traité des XXIV articles,B1
Vous ne pouvez pas commencer votre journée sans votre bol de chocolat chaud ?,A2
Ce rendez-vous des gourmands et des passionnés de chocolat a lieu tous les ans entre fin octobre et début novembre à Paris,B1
Pile au moment où on a le plus besoin de réconfort,A2
"Ce ne sont pas moins de 20 000 mètres carré dédiés au cacao qui vous attendent cette année, avec plus de 500 participants venus de 60 pays différents - parmi lesquels chocolatiers, pâtissiers, confiseurs et professionnels de l'industrie du chocolat, mais aussi pays producteurs, grands chefs, designers et experts en cacao - tous réunis pour faire découvrir au public les richesses de la célèbre fève",B1
"Le Salon du Chocolat célèbre les sources du chocolat, en mettant en lumière les pays producteurs, les terres du cacao et leur patrimoine culturel",B1
Les International Cocoa Awards mettent ainsi à l'honneur le travail des planteurs et les grands crus,B1
"Mais pour les visiteurs et les professionnels, c'est également l'occasion de découvrir les dernières innovations, et surtout de goûter les créations des chefs pâtissiers et chocolatiers",B1
"Vous pourrez, entre autres, participer à des séances dégustations, faire dédicacer vos livres de recette favoris par leur auteur à l'espace librairie, ou encore admirer les 10 créations inédites signées d'artistes de renom sur le thème du chocolat",B1
"Et pour les enfants, des ateliers de pâtisserie se dérouleront chaque jour tout au long de la journée",A2
"Enfin, ne manquez surtout pas le défilé de robes en chocolat qui reste l'un des temps forts du salon, mêlant modèles historiques et créations inédites",A2
"En plus de toutes ces activités, le Salon du Chocolat est également l'endroit rêvé pour découvrir et acheter les chocolats de nombreux artisans chocolatiers du monde entier, réunis en un seul lieu à Paris",B1
Vous n'envisagez pas la vie sans votre tablette quotidienne,A2
Alors le Salon du Chocolat est l'événement à ne pas manquer,A2
"Aujourd'hui, je suis très occupé",A2
"D'abord, je dois aller à la boulangerie pour acheter du pain et des croissants",A2
Puis je vais passer à la poste pour envoyer un colis à ma grand-mère,A2
"Ensuite, je vais faire mes courses au supermarché où je vais acheter des fruits et des légumes",A2
"Vers midi, je vais rejoindre mon ami Pierre au restaurant italien pour déjeuner avec lui",A2
Je suis content car je ne le vois pas souvent,A2
"En plus, c'est mon restaurant préféré, donc je vais me régaler",A2
"L'après-midi, j'ai encore beaucoup de choses à faire",A2
"Je veux trouver un cadeau d'anniversaire pour ma copine, donc je vais aller au centre commercial",A2
Il y a un nouveau film avec son acteur préféré,A2
"Et après le film, je l'emmène dîner dans un restaurant romantique",A2
"Samedi dernier, j'ai passé la journée à Paris avec mon frère",A2
"Comme il faisait très beau, nous nous sommes promenés le long de la Seine",A2
"Puis mon frère voulait voir la tour Eiffel, alors nous y sommes allés",A2
Nous avons aussi visité le musée du Louvre,A2
C'était très intéressant,A2
"Après ça, nous étions un peu fatigués",A2
"Pour nous reposer, nous avons bu un verre en terrasse",A2
"Le soir, nous avons mangé dans un excellent restaurant",A2
"J'ai pris du poisson avec du riz, et mon frère a choisi un simple steak-frites",A2
"Pour finir, nous sommes allés au théâtre : la pièce était hilarante",A2
Nous avons beaucoup ri,A2
De longues heures s’enchaînent pendant lesquelles Alice et ses camarades apprennent de nouvelles choses,B1
"En France, Noël est un moment important",B1
"Ainsi, les salons se parent de bougies et de sapins",B1
Certaines familles ont pour tradition de déposer des biscuits et un verre de lait près du sapin pour remercier le père noël.,B1
Les habitants (villes comme campagnes) décorent leurs habitations et achètent des calendriers de l'avant,B1
"En général, les français optent pour des sapins en pot afin de prolonger la magie du moment",B1
L'arbre odorant est paré de guirlandes et de boules tandis qu'une étoile chatoyante est ajoutée sur la cime,B2
Bien entendu les cadeaux de Noël seront déposés uniquement le 24 décembre au soir afin de permettre le déballage le lendemain matin,B1
Pâques est une fête catholique célébrée le 21 avril,B1
Elle commémore la résurrection de Jésus mais fête aussi le printemps,B1
"Tandis que les jonquilles fleurissent, les parents dissimulent du chocolat dans le jardin afin de célébrer Pâques",B1
Petits comme grands peuvent ainsi partir à la chasse à l’œuf,B1
"Traditionnellement les chocolats sont sous forme d’œufs mais aussi d'animaux comme des poussins, lapins, moutons",B1
Certains familles décorent les œufs durs en peignant leurs coquilles avec des teintes vertes ou rouges,B1
La maison de Ben est grande,B1
Il y a beaucoup de pièces,A2
"Au rez-de-chaussée, il y a un salon avec un piano, une salle-à-manger, une cuisine spacieuse et jaune et une salle de bain",B1
"Il a fait construire en plus une belle véranda contenant une bibliothèque, pour profiter du soleil et d'une vue sur le jardin",B1
"Au sous-sol, il y a une cave, pour ranger le vin",B1
"Au premier étage, il y a trois chambres",B1
"Au deuxième étage, il y a un bureau et deux chambres, dont la sienne",B1
"Dans le bureau, il y a un vélo d'appartement, des haltères et un stepper",B1
"Le jardin est long et étroit, il y a une balançoire au fond et un barbecue, proche de la terrasse, sur laquelle est posée un transat",B1
Des chats viennent souvent chasser les feuilles qui volent au vent,B1
"Avec les prévisions météo, on peut savoir quel temps il fera le soir, le lendemain ou dans la semaine",B1
"Quand il y a un grand soleil sur la carte, il fera chaud sur la région",B1
"Quand la météo indique un soleil avec des nuages, il y aura peu de soleil et il y aura souvent du vent",B1
Le temps sera gris,A2
